Feature_Set,p,ARI_Train,NMI_Train,Purity_Train,Homogeneity_Train,Completeness_Train,VMeasure_Train,FMI_Train,ART_Classes_Train,ARI_Val,NMI_Val,Purity_Val,Homogeneity_Val,Completeness_Val,VMeasure_Val,FMI_Val,ART_Classes_Val,ARI_Test,NMI_Test,Purity_Test,Homogeneity_Test,Completeness_Test,VMeasure_Test,FMI_Test,ART_Classes_Test
Quartiles,0.2,0.19795336813828254,0.26408330467211877,0.45017221584385764,0.2595139111773626,0.2688164934671207,0.26408330467211877,0.35642582636610676,12,0.22138732975633335,0.28476020747143727,0.45867768595041325,0.28187031781150584,0.2877099684442197,0.2847602074714373,0.37291014334042644,12,0.2094978134438839,0.2760080768736065,0.4561145795078957,0.2731060432006753,0.2789724471451215,0.27600807687360657,0.36012107024151935,12
Quartiles,0.3,0.2896214009855421,0.38618578022048955,0.5408725602755453,0.4049479242110216,0.3690852349199089,0.38618578022048955,0.42227958225958856,25,0.29067594637514316,0.40232968719440165,0.5573921028466483,0.4230467423792138,0.38354697806434457,0.40232968719440165,0.4214227451058639,25,0.28910260735585064,0.3971761803248867,0.5453543885420492,0.41635012362040136,0.3796905024063143,0.3971761803248867,0.4182507726772636,25
Quartiles,0.4,0.2683294760034765,0.4326439014759725,0.7130884041331802,0.5859917608620042,0.3429083938002118,0.4326439014759725,0.38071495097491354,54,0.2687463017955784,0.4478911275317347,0.72910927456382,0.6031189452652513,0.3562112184172966,0.44789112753173466,0.37881947852910464,54,0.26462881628834517,0.44805447654574226,0.7124495042232831,0.6044244461345333,0.35596354708621436,0.44805447654574226,0.374304468245557,54
Quartiles,0.5,0.2046450890700053,0.39582038871327724,0.6724454649827785,0.5822169925627545,0.29982992414834325,0.39582038871327724,0.32149967006845814,97,0.1925912782248859,0.40536809584755024,0.6859504132231405,0.5972926455999161,0.30678928923045995,0.40536809584755024,0.3072381003702268,97,0.19027712182331064,0.4061594071065197,0.6764597869996327,0.5940276577769783,0.308570384728892,0.4061594071065197,0.3027870825475239,97
Quartiles,0.6,0.16939279066074298,0.42583997619667063,0.7533869115958668,0.6736645905841236,0.31131489297015885,0.42583997619667074,0.29218942609226817,142,0.18974006230280996,0.45633166597984975,0.7924701561065197,0.7166809768019525,0.33473294355634353,0.45633166597984975,0.31565286670710696,142,0.18449440348041235,0.44427133295639026,0.7664340800587587,0.6939181448137536,0.3267267790939026,0.4442713329563903,0.3075449761299548,142
Quartiles,0.7,0.13723743543907518,0.42820222787103684,0.7804822043628014,0.70996342444111,0.30654469356892744,0.42820222787103684,0.2663331193062045,194,0.13799359471096861,0.44309296414319543,0.797979797979798,0.7349368759185102,0.3171517842092469,0.44309296414319543,0.267313535115724,194,0.14433572017257654,0.4422343968334572,0.7844289386705839,0.7246794339354194,0.31821108669312254,0.4422343968334572,0.2735976821707798,194
Quartiles,0.8,0.06539440460541056,0.4074699318905425,0.8214695752009185,0.7791958862637792,0.275864861969743,0.4074699318905424,0.18355045024373526,414,0.06427487845586052,0.4243676062699134,0.8383838383838383,0.7951359231875283,0.28941478791764164,0.42436760626991343,0.17698427438643952,414,0.06669556996308221,0.4189591282868356,0.8149100257069408,0.778884679459949,0.2865454116627583,0.4189591282868356,0.1797787997671228,414
Quartiles,0.9,0.03141485474789985,0.38951057486831475,0.8774971297359357,0.8549282912675412,0.25220935138908707,0.38951057486831486,0.13203218850412812,984,0.03127772502388311,0.40875724678205655,0.8732782369146006,0.8496608518712657,0.2691109526814064,0.40875724678205644,0.11400355819081252,984,0.029958667072188857,0.4025179342193519,0.8633859713551231,0.8369921179598754,0.26497307701236694,0.40251793421935195,0.11132794096408007,984
Thermometer,0.1,0.0,0.0,0.2687715269804822,0.0,1.0,0.0,0.41765083381853363,1,0.0,0.0,0.24517906336088155,0.0,1.0,0.0,0.41386825037421204,1,0.0,0.0,0.24641939037825927,0.0,1.0,0.0,0.41134494776436564,1
Thermometer,0.2,0.0,0.0,0.2687715269804822,0.0,1.0,0.0,0.41765083381853363,1,0.0,0.0,0.24517906336088155,0.0,1.0,0.0,0.41386825037421204,1,0.0,0.0,0.24641939037825927,0.0,1.0,0.0,0.41134494776436564,1
Thermometer,0.3,0.22787326333761648,0.3496317676159176,0.4431687715269805,0.2938155280894685,0.4316283593079909,0.34963176761591763,0.4179910800117585,4,0.2273126084070616,0.359101654664808,0.4279155188246097,0.30084432929653365,0.44534000048435646,0.359101654664808,0.41769219120530104,4,0.22117764786268193,0.3575385184457504,0.4237972824091076,0.30113640227388094,0.43993779880195544,0.3575385184457504,0.40745447172481014,4
Thermometer,0.4,0.1655408728069675,0.3772522479631451,0.4817451205510907,0.3043708503882835,0.4960251369032417,0.3772522479631451,0.403258394748065,6,0.18602641226662636,0.39513050780852793,0.48438934802571165,0.31757864418271986,0.5227958757514921,0.395130507808528,0.42074817592856867,6,0.1675496920523417,0.37014807630241336,0.4667645978699963,0.2963550626460546,0.49287493909618413,0.37014807630241336,0.4056353018514482,6
Thermometer,0.5,0.3088366572140755,0.4524011702074101,0.48036739380022964,0.390225125929003,0.5381460076838299,0.4524011702074101,0.4784285572827148,8,0.3014219392563707,0.4498670636554704,0.4719926538108356,0.3892782330430364,0.5327931303809994,0.4498670636554704,0.4701606979620371,8,0.30135471204399517,0.4495113905385851,0.4700697759823724,0.3856096386635372,0.5387991155923687,0.4495113905385851,0.47096433684992023,8
Thermometer,0.6,0.2736012006303503,0.4264697679826093,0.5763490241102182,0.4829996227251962,0.3817858812943213,0.4264697679826093,0.3911753830100997,28,0.2687283729973259,0.4217827135736722,0.5647382920110193,0.4798248531216036,0.37626742549354003,0.4217827135736722,0.3841740603835967,28,0.2636277375410683,0.4219483999724155,0.55306647080426,0.47677867912828725,0.3784285378644967,0.4219483999724155,0.3803237036990646,28
Thermometer,0.7,0.29892502875661525,0.4897245401358038,0.7431687715269805,0.6449755634265221,0.3947136554080695,0.48972454013580374,0.40428153419525015,60,0.26223476098618376,0.4806054983524575,0.731404958677686,0.6351123301505016,0.3865641725164501,0.4806054983524576,0.36804058494856623,60,0.2745038988251593,0.4873241295188981,0.7183253764230628,0.6372952343512678,0.3944908220626087,0.4873241295188981,0.3781368016403815,60
Thermometer,0.8,0.1867577078071334,0.46333043445833694,0.8269804822043628,0.7579081365665838,0.33365000581579946,0.46333043445833694,0.3224419227739196,168,0.17988743259112314,0.47457863380552046,0.8420569329660239,0.7774332312661297,0.3415323129245572,0.4745786338055205,0.3144810901603517,168,0.1955358289430741,0.48211216955436587,0.8409842085934631,0.7823048684006768,0.3484152840331868,0.48211216955436587,0.3306467814607056,168
Thermometer,0.9,0.06400108758451115,0.4131444252465433,0.8541905855338691,0.8149254458911473,0.27671580140450264,0.4131444252465433,0.18508507373519464,498,0.06450660580597453,0.4265949540207631,0.8549127640036731,0.8203552363450972,0.28824226274024983,0.42659495402076303,0.1804478457036798,498,0.06169818611326832,0.4263238203020742,0.8542049210429673,0.8196429357079037,0.28808263812850016,0.4263238203020742,0.1756675600020205,498
